acousticness,danceability,energy,log_instrumentalness,log_liveness,log_speechiness,valence
0.591,0.617,0.604,-7.1927742340144345,-1.0966112919979427,-3.366766969857648,0.855
0.0659,0.788,0.427,-10.196517231314504,-1.76608587454336,-1.1776522492605863,0.603
0.025,0.789,0.628,-9.86042806307568,-0.4557047472590887,-3.066133278853315,0.401
0.404,0.699,0.791,-13.815510557964274,-2.605028919319805,-0.7657157228594588,0.356
0.41,0.553,0.441,-12.542944962172726,-2.23491709876951,-2.388132088168836,0.525
0.476,0.596,0.462,-2.8455724035684327,-2.189247479155473,-2.831897210540027,0.655
0.2,0.703,0.599,-13.815510557964274,-0.8486297469544717,-2.292624861199793,0.851
0.0529,0.855,0.419,-13.815510557964274,-2.352815794238969,-1.5750316548105625,0.348
0.261,0.634,0.455,-12.737100976613684,-1.4696716222423063,-1.6347505922264112,0.221
0.00759,0.618,0.742,-13.815510557964274,-2.009908016372504,-1.032821739145288,0.533
0.545,0.479,0.362,-8.50724286056307,-0.6462616862659692,-2.8200829265281007,0.48
0.159,0.783,0.479,-13.815510557964274,-2.6036766723557605,-1.7544579041542434,0.317
0.033,0.76,0.497,-13.815510557964274,-2.424741427597063,-1.9173158895054507,0.205
0.863,0.415,0.279,-11.266065387038704,-1.1488503505356995,-3.239053022307018,0.246
0.71,0.758,0.337,-10.799975657114103,-1.8018037444938613,-3.007784612078165,0.368
0.36,0.6,0.619,-10.029050775511474,-2.244306750952305,-1.5994826310981365,0.308
0.355,0.633,0.459,-11.176453228349017,-2.6380438433659927,-3.1099989986828134,0.255
0.195,0.678,0.569,-13.815510557964274,-2.2163982224831504,-2.6036766723557605,0.127
0.048,0.521,0.528,-13.815510557964274,-2.5294731462132383,-1.2729621043906936,0.395
0.717,0.649,0.646,-10.850237491894992,-2.3740703536182406,-3.1280986308101326,0.528
0.201,0.738,0.379,-11.330603908176274,-2.518244222598629,-2.47692657544778,0.598
0.844,0.475,0.149,-13.815510557964274,-1.9661057135412,-3.231429290939821,0.318
0.334,0.826,0.595,-5.689583755256388,-2.189247479155473,-3.196600766354524,0.484
0.695,0.546,0.272,-13.815510557964274,-2.207265822321952,-1.5558924061808084,0.356
0.428,0.617,0.378,-9.28722141631214,-2.207265822321952,-3.4577359876226983,0.22
0.362,0.598,0.53,-12.639937228160036,-1.061313613755179,-2.9431208482827813,0.2
0.00418,0.638,0.679,-13.815510557964274,-1.2693970509358623,-2.0714654355542166,0.232
0.33,0.519,0.58,-2.8559529400257118,-2.1803586107514312,-3.12581818011717,0.692
0.226,0.777,0.308,-13.815510557964274,-2.2163982224831504,-3.4609155394412805,0.634
0.129,0.613,0.488,-10.710923879498202,-1.093621762086899,-2.3392387039754574,0.183
0.0928,0.716,0.342,-6.652338167117632,-2.207265822321952,-3.076920637240832,0.372
0.224,0.619,0.71,-7.834096346709793,-1.5232556290476058,-2.67944816709707,0.313
0.0294,0.604,0.525,-11.687278852115004,-1.0966112919979427,-2.009908016372504,0.5
0.725,0.738,0.549,-5.701485115607517,-2.2256147926415246,-1.2039694709981583,0.27
0.148,0.722,0.582,-12.515318895897796,-3.123542918049409,-0.9088162356489544,0.892
