track_id,song_name,n_artists,main_artist,main_artist_id,main_artist_genres,release_date,explicit,tempo,acousticness,mode,duration_ms,danceability,speechiness,valence,energy,liveness,instrumentalness
4jPr49jXRJHftXlwTEA2w4,Close to Me,1,Laica,2DqImimq9vdEbnQBxGgihQ,['chill r&b'],2020-02-25,0,116.851,0.386,1,211746,0.642,0.0335,0.163,0.489,0.11,0.0
0z36JaXXoFXuPuQucKEsdx,ZTFO,1,Big Sean,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",2020-09-04,1,74.977,0.0514,1,136462,0.72,0.0482,0.374,0.542,0.136,3.5e-06
0t2q2c43AATY4z1GI883Be,Summer 2020,1,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,"['dance pop', 'pop', 'r&b', 'urban contemporary']",2020-07-17,0,169.949,0.831,0,196000,0.401,0.216,0.54,0.485,0.0907,0.000292
7u9gK0UnRuWHdVawIdXezA,The Truth,1,India.Arie,7Gf3LSwa5hh8Cjo60WhVjC,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']",2020-06-05,0,95.348,0.334,0,206520,0.696,0.231,0.298,0.467,0.437,9.95e-06
1psvnQxSDdIKTDM2Jm8QKt,By Yourself (feat. Jhené Aiko & Mustard),3,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",2020-10-23,1,104.036,0.0804,1,148927,0.771,0.0718,0.182,0.526,0.663,0.0
391ld8zBXxJRJlspCe6kUR,LA DON’T LOOK GOOD ON U,1,ASTN,7zkwepHPyac6tCYl0fL0co,"['bedroom soul', 'chill r&b', 'pop']",2020-11-20,0,100.038,0.0522,0,156340,0.87,0.0354,0.628,0.387,0.321,0.0
1w327AHTCoChRIkJUprAnV,Mirage,1,Orion Sun,2efrqekWSHlvhATD50AG3m,"['alternative r&b', 'bedroom pop', 'chill r&b', 'indie r&b', 'indie soul']",2020-01-06,0,117.095,0.87,0,57496,0.683,0.0743,0.47,0.468,0.108,0.673
5FfInegP9g9CPjmfzZ7TuV,Worst Thing,2,Lakeyah,77gMBvQ2frbQAPyCeoYGm7,"['pop r&b', 'pop rap', 'r&b']",2020-12-11,1,89.261,0.468,0,147860,0.547,0.421,0.245,0.556,0.114,0.0
2CDcXWYWilHTXrsOXJza8n,Deep Reverence (feat. Nipsey Hussle),2,Big Sean,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",2020-09-04,1,91.879,0.138,0,231352,0.631,0.31,0.265,0.848,0.379,0.0
6t5MVzUCfeK1ASDMkKadxW,Second Chances. (ft. 6LACK),2,Kiana Ledé,7jZMxhsB8djyIbYmoiJSTs,"['chill r&b', 'dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']",2020-04-03,1,72.855,0.786,0,192120,0.501,0.391,0.322,0.349,0.107,0.0
3YXLaorYY7gHCxzVgceAkb,Deep In Love,1,KB Mike,6dGMlf9UbIdCyLvUiAS4yY,['pop r&b'],2020-11-16,1,119.963,0.125,1,136072,0.743,0.235,0.622,0.449,0.0679,0.0
